,Titulo,Temple anímico,Letra
11,Gaviota herida,['Pena'],"Ay! qué buscas tú en mi alma
ay! qué quieres mi vida de mí
no ves que ya no hay nada
que no hay palabras que decir

O acaso se te olvidan
ay!, tus manos diciéndome adiós
cómo es que no recuerdas
mis ojos llorando tu amor

Que desde aquel momento
siento que vivo del dolor
y le ha quitado fuerza
al viento y a mi corazón

Aún recuerdo la gaviota
que voló un día llevándose entre sus alas
el alma mía y me hizo llorar

Sabía que la amaba tanto
quién no sabía cuándo la estaba adorando
cuánto sentía y se echó a volar

y una gaviota linda yo vi alejar
llevándose mi vida, mi vida y más (bis)




Quedó sin una estrella el cielo por ti
y la noche en tinieblas fue mi vivir
alguien dijo en la tarde se oyó el gemir
de un hombre muy solitario por su sentir

Solo por la gaviota que un día voló
y se llevó mi vida más que sé yo (bis)

Dicen que el que se aleja
más fácil se le hace olvidar
pero aquel que se queda
siempre el recuerdo vivirá

De tanto sentimiento
ay! el alma quiso doblegar
y el corazón sufriendo
queriendo el recuerdo matar

Hasta la piel me siento
que el sol me quemó sin cesar
testigo fue el silencio
que el llanto me hizo desahogar

Sé que en las playas del mar
las olas mueren y otras también volverán
por muy rebeldes también morirán

Has llegado a tu final
y eso me duele sé que muy triste estarás
también me hiere pero es el final

adiós gaviota herida vuelve a volar
solo tu llanto libre te aliviará (bis)

Siempre se ríe y se llora por un amor
porque de alguna ausencia nace el dolor
aunque con la esperanza va la ilusión
queda una honda herida en el corazón

Solo por la gaviota que un día voló
y se llevó mi vida más que sé yo

: Solo por la gaviota
que se llevó mi vida más que sé yo ( veces)
"
12,La última vez,"['Pena', 'Pesar', 'Amargura']","y canciones ()
Sello discográfico/Serial: Sony -

Expresión lírica, 
poética  
y musical

Temple anímico: Pena; Pesar; Amargura
Actitud lírica: Carmínica; Apostrófica
Figuras literarias: Metáfora; Hipérbole; 
Apóstrofe; Anáfora
Ritmo/Tempo: Paseo / Lento
Sentimiento estético: Muy alto


Enlace para  
escuchar canto

https://www.youtube.com/watch?v=kypHFdXjNw



Donde está el sol, que Dios me dio, que iluminó, tantas mañanas en mi
hoy no salió, vean como estoy, cual redentor, que un día se negó a vivir

Tú, tú me quitaste la vida mi reina
tú, cuando dijiste aquí todo termina
yo, yo siempre puse en tu fuego mi leña
y tú, solo pusiste en mi herida la espina

: Señor, señor,
 yo nunca la hice sufrir
: por qué, por qué, 
me tuvo que lastimar

: hay Dios, hay Dios
como la quisiera herir
: pero, mejor,
 hecho la piedra en el mar




Y me mató, la vida y no más,
 y me mató, ya siendo un mortal 

Dijo me quería, tanto me adoraba
puso de testigo a mi Dios
viento a sus promesas, ojos a sus palabras
y juró ante Cristo el creador 

Y me mató, la vida y no más,
 y me mató, el alma quizás
Y me mató, la vida y no más,
y le quitó el alma a un mortal

La última vez, que pasos doy, por un amor, que tanto llevaba en mi
hoy la razón, venció el dolor, no salió el sol, ya nunca volvió a salir


si, la última vez que mis labios te nombran
y, la última vez que mis ojos te lloran
y, aunque me toque vivir en las sombras
tú, ya nos sabrás lo que un hombre te adora

Señor, señor me marcho lejos de aquí
por qué, por qué, no la quiero lastimar
¡ay! Dios, mi Dios, para que la voy a herir
mejor, mejor, hecho la piedra en el mar

Y me mató, la vida y no más,
 y me mató, ya siendo un mortal 

Dejo otro camino, y ha sido mi vida
 tengo de testigo a mi Dios
se estremeció el cielo, mi alma entristecida
pero solo queda un adiós 

Y me mató, la vida y no más,
 y me mató, el alma quizás
Y me mató, la vida y no más,
y me mató ya siendo un mortal
"
13,"Lloraré

Expresión lírica, 
poética  
y musical

Enlace para  
escuchar canto

Enlace para  
escuchar  
declamación","['Pena', 'Angustia', 'Congoja']","Deja, déjame decirte negra 
si ya te alejas, si ya te vas 
quiero, quiero decirte al oído 
cuanto en la vida, mi dolor será 

Ya me iré, como el río que en turbulencia va 
en camino corriendo hacia el mar 
y nadie lo puede detener 
lloraré, cual los hombres que sinceros son 
cuando no los quiere una mujer 
y en sus noches gime el corazón 




Volveré, volveré 
cuando ya con el tiempo destruye el veneno malevo 
que fue tu querer 
y en el cielo un lucero lejano 
me indique, me diga, ya puedes volver 

¡Ay! se infinita de besos, entre suspiro y suspiros 
¡ay! se infinita que crece, hoy no te encuentras conmigo 

Crece, crece la angustia dormida 
y astillas en mis ojos no me dejan ver 
tu eres, tu eres la única culpable 
que viejos anhelos ya no puedan ser 

Lloraré, cual las piedras que animadas están 
silencioso sin consuelo estoy 
añoranza mis cantos serán 

Lloraré, cual los hombres que sinceros son 
cuando no los quiere una mujer 
y en sus noches gime el corazón 

Partiré, partiré 
hacia tierra lejana del mundo 
galope tendido sin ningún control 
donde sólo las aves del campo 
escuchen mis cuitas, mis versos de amor 

¡Ay! se infinita de besos, entre suspiro y suspiros 
¡ay! se infinita que crece, hoy no te encuentras conmigo 
"
14,Migajas de amor,"['Nostalgia', 'Soledad', 'Resignación']","Cada día te canto con el alma
como no he de cantarte si eres para mi
como el ave que trina en mis mañanas
como el canto del agua en su alegre desliz.
Como el tiempo terrible en su nostalgia
me marchitaba el alma sin saber de ti
te alejabas te me ibas escapando
entre cristal de llanto te miré partir.

Tú has logrado
: hacer de mi soledad mi compañera
y hoy cansado
: se adormece mi esperanza ante tu adiós.


 



Pero no regreses nunca por favor
si por lástima me quieres consolar
no recojas las migajas de un amor
si este amor de pronto un día te hará llorar.

No, no te preocupes mi negra
busca, tu  nuevo amanecer
mis, versos seguirán tus huellas
pero yo no te perturbaré.

No, no no yo no te perturbaré
No no no no si lo hago es por tu bien.

No hay camino en que no escuche tu risa
muy despacio o aprisa siempre te esperé
en el alma de cada margarita
o en la rosa marchita allí te encontraré.

Te confieso que me arrancas la vida
con esta despedida que nunca esperé
pero pienso que si este adiós te alivia
ofrendaré mi vida solo por tu bien.

Solo ruinas
hallarán en un rincón, dentro de mi alma
golondrinas
ya verás una esperanza sin valor

Pero no regreses nunca por favor…

No, no te preocupes mi negra…

No, no, no yo no te perturbaré…
"
15,Cenizas,"['Soledad', 'Angustia', 'Culpa']","En una noche callada, te vi partir
se apodero el tormento de nuestras vidas
pero era tan inmenso mi frenesi
en noches de desvelo te oi venir
y te escuche en silencio mientras llovia



Lloraba con angustia mi herida
senti que mis esfuerzos fallaban
sabia muy bien que pronto te perdia
sabia muy bien que todo terminaba

Y hoy solo en mi alma han quedado cenizas
y polvorienta angustia desolada
la soledad cuando viene no avisa
oh! soledad que me partiste el alma

Cenizas de mi mal presuroso huracan de tinieblas y heridas
saliste sin hablar yo no pude evitar lagrimas que corrian


Con tu mirada fria me enseñaste el final
los arroyos corrian esa noche infernal
los arroyos corrian esa noche infernal

Yo se que todavia no vas a comprender
las razones que a veces obligan a un hombre
y aunque ya para mi llego el anochecer
en mi esperanza muerta siempre te amare
y loco por las calles gritare tu nombre

Palpaba con tristeza tu olvido
mi horizonte de penas se abria
y por lo mal que me porte contigo
me vi humillado en mi melancolia

Borre el camino que habia recorrido
llego la angustia de mi fantasia
y entre mil penas estoy confundido
llego el ocaso de la vida mia

Cenizas de mi mal presuroso huracan de tinieblas y heridas
"
16,Cruz de dolor,"['Pesar, esperanza']","Por favor, no me digas adios 
el silencio es mejor, que una cruel despedida 
ve con Dios, tal vez sea lo mejor
separarnos tu y yo, sin rencores ni heridas 

Morira, aqui en mi corazon
una pobre ilusion, que se aleja contigo
quedara, de lo que antes fue amor
una cruz de dolor señalando tu olvido. 

Con que esperanzas me dejas
si es que tu te alejas para no volver
oye de mi alma esta queja
regresa, regresa, te pido mujer

Pero si estas decidida, a proseguir tu partida
yo te sabre comprender
y aunque te lleves mi vida
en esta cruel despedida, yo te perdono mujer.

Por favor, no me guardes rencor
te lo pido por Dios, no agrandes esta herida 
es mejor, que si hubo un gran amor
no aumentes el dolor, que me da tu partida.
 
Morira, aqui en mi corazon
una pobre ilusion, que se aleja contigo
quedara, de lo que antes fue amor
una cruz de dolor señalando tu olvido. 

 Con que esperanzas me dejas…

Pero si estas decidida a proseguir tu partida…
"
17,"El llanto de un rey

Poema",['Desconsuelo '],"Datos  
identificadores

Autor: Jose Alfonso Maestre
Interpretacion: Rafael Orozco & Israel Romero
Album/Año: De America ()
Sello discografico/Serial: 
Codiscos - 


Expresion lirica, 
poetica  
y musical

Temple animico: Desconsuelo 
Actitud lirica: Carminica; Apostrofica: 
Enunciativa
Figuras literarias: Metafora; Hiperbole; Apos-
trofe; Anafora; Epimone
Ritmo/Tempo: Paseo / Lento
Sentimiento estetico: Muy alto

Enlace para  
escuchar canto

https://www.youtube.com/watch?v=jhMobtuYU



Si tu cantaras, esos himnos de mi vida 
si tu pudieras, enamorarte de mi canto triste 
no pensarias marchar, no apagarias mi luz 
no buscarias refugio en las noches, mis noches sin fin. 

Si tu cantaras, esos versos tan bonitos 
si engrandecieras, ese trono que yo quise darte 
no desearias romper, mi pobre alma y seguir 
tantos alardes de ser tan queridos, ya los olvide. 


Soy rey, y mis escudos te di, como en Jerusalen
 brillo, la estrella de David, y unte tu nombre en mi piel
soy rey, de mis castillos sin fe, quien mato la ilusion
yo se, que te alejas quizas, mas nunca vas a volver
, mas nunca vas a volver, mas nunca vas a volver. 

Yo invente un pedestal, yo invente un corazon, que te quisiera 
la princesa se va, que fue lo que hice yo, por que me dejas 
pobre del rey, ya no hay llanto que cure su pena
pobre del rey, ya no hay llanto que cure su pena

Si tu cantaras, a mi cielo mis plegarias 
si tu quisieras, devolverte y comenzar de nuevo 
no tendria pa’ que explicar, vivir tan solo sin ti 
y mis historias quedarian perdidas, volvi a sonreir. 

Si tu cantaras, a la brisa mis canciones 
si enriquecieras, este reino con una sonrisa 
ya no podrias olvidar, aquel octubre feliz 
cuando llegaste, yo estaba esperando, mil años por ti. 

Soy rey, y mis carrozas deje, alla en tu manantial 
bebi, sobre tu pecho el caudal, puse mi sombra en tus pies 
soy rey, de una ciudad sin color, y doncella de papel 
no se, por que murio tanto amor, y ahora me toca perder, 
y ahora me toca perder, y ahora me toca perder. 

Yo invente un pedestal, yo invente un corazon que te quisiera…
"
18,Mi última golondrina,"['Soledad', 'Desolación', '\nConfusión']","Por que pregunto tuvo que ser asi
yo estaba ajeno del mundo y su dolor 
si todo sufrimiento, quedaba en el olvido 

En mi silencio un dia te vi venir 
tu vos, tu cuerpo, todo me deslumbro 
pero regreso el silencio si un dia tu vuelo nunca volvio 

Por que te fuiste vida, mi vida mi mundo 
mi ultima golondrina 
de nuevo mi alma herida, sin rumbo tu vida
 perdimos la partida 





Como hago pa’ poder olvidarte mi amor 
enseñame cual es el camino final 
en un tunel se ha quedado mi corazon 
y no encuentro forma de poderte olvidar 

Volando va
 mi alma por este mundo 
con un dolor profundo
 y quien la curara 

Como hago pa’ poder olvidarte mi amor… 

En desbandada mil palomas veo pasar 
vuelan veloces como anunciando el adios 
parece que supieran, que ya me encuentro solo 

Llego a mi casa y ya no me provoca entrar 
casi que lloro al ver la foto de los dos 
te me fuiste compañera, y hoy en tinieblas, queda mi voz 

Por que me ilusionaste cariño, 
si todo, todo se acabaria
 por que no me dejaste tranquilo
 si solo  muy bien que yo vivia. 

Como hago pa’ poder olvidarte mi amor… 

Que soledad, me espera en el camino 
cual va a ser mi destino, quien sabe cual sera. 

Como hago pa’ poder olvidarte mi amor…
"
19,Mis hojas secas,"['Pena', 'Resignación', 'Culpa']","Hoy que te vas de mi, 
hoy que quieres volver
: al mundo que adorabas
y que por culpa mia lo perdiste

No me digas adios
 no me pidas perdon
: mejor no digas nada
 porque no quiero ni despedirme

Hoy que te vas de mi
no pude comprender
: si en verdad te hice daño 
 por Dios perdona no quise herirte




Queria que fueras sol,
queria que fueras luz
: y una vela apagada
 encontre en tus ojos tenias que irte

Si te acuerdas de mi sera por bien
yo sabia que era triste un dia me voy
: si te acuerdas de mi sabras mujer
que sufri por quererte y por tu amor

Ahi te dejo mi voz y mi cancion
pa´que nunca te olvides de la cruz
que le queda a mi pecho al despertar
no te vayas tan lejos por favor
pa´que lleves contigo mi alma gris
y la limpie tu risa angelical

Llevate, llevate
: mis hojas secas y los recuerdos que mas me hieran
Llevate, llevate
: mis hojas secas y los recuerdos que mas me hieran 

Pido que seas feliz, tu te mereces mas 
: que la lucha de un hombre con un pasado que lo persigue 
no me arrepentire, de lo que ya vivi 
: pero quedo una sombra quiero arrancarla y me es imposible 

Si te acuerdas de mi
 podre cantar cada noche a la luna mi mision
 : si te acuerdas de mi me esperaras, despacito se cura este dolor 

Ahi te dejo mi voz y mi cancion 
pa´que nunca te olvides de la cruz 
que le queda a mi pecho al despertar
 
Llevate, llevate mis hojas secas…
"
20,Último adiós,"['Desdicha', 'Decepción', '\nResignación ']","Siento morir, que noble soy
fallan mis fuerzas, pa´ resistir, este dolor
lleno de amor, y de rogar
grande atencion, y hoy un clamor, me hace llorar

Tengo 
tengo el alma destrozada
porque he perdido a mi amada
cuando menos lo pense



Siento
que ya mi vida se acaba
mis alegrias desplomada
vivo ausente del placer


Y aun no conozco el valor
para pagar el orgullo
que yo senti al lado tuyo
reinas en mi corazon

Duras huellas son testigo
de lo afligido que vivo yo
para un mundo desconocido
se fue mi amada sin mi partio

Ya se acabo, mi dulce amor
quien me enseñara, a ser mas bueno, que decepcion
como te va, dame valor
yo le gritaba, me dejas solo, adios, adios

Linda
cual nieve recien caida
que bonita se veia, mi amada cuando partio
pero, se que el tiempo va pasando
poco a poco ira llegando, a mi la resignacion

Duras huellas son testigo…
"
